left_side,right_side,similarity
Zycom Technology Inc.,Zycom Technology,0.9586772810165543
Zycom Technology,Zycom Technology Inc.,0.9586772810165543
ZTR Control Systems,ztr control systems inc,0.9746781547259639
Zenith System Solutions Inc.,Zenith System Solutions,0.9737568679306761
Zenith System Solutions,Zenith System Solutions Inc.,0.9737568679306761
Yulu Public Relations Inc,Yulu Public Relations,0.9808777071614184
Yulu Public Relations,Yulu Public Relations Inc,0.9808777071614184
YRC Freight Canada,yrc freight,0.9160796810829381
Youth Employment Bootcamp │ YMCA of Greater...,Youth Employment Bootcamp | The YMCA of Greater...,0.9097376748784931
Youth Employment Bootcamp | The YMCA of Greater...,Youth Employment Bootcamp │ YMCA of Greater...,0.9097376748784931
Yonge Street Mission,the yonge street mission,0.9056332190293847
YMCA of Greater Toronto,The YMCA of Greater Toronto,0.9190926030624509
YieldPoint Inc.,YieldPoint,0.9608489618849935
YieldPoint,YieldPoint Inc.,0.9608489618849935
ydc pro Inc,YDC Pro,0.9275014415383365
ydc pro Inc,YDC pro,0.9275014415383365
YDC pro,ydc pro Inc,0.9275014415383365
YDC Pro,ydc pro Inc,0.9275014415383365
Xylem,xylem inc ,0.9196275780911982
XPO Logistics,xpo logistics inc ,0.9696892866277658
Xplornet Communications Inc.,xplornet communications,0.9760806047257362
"Xiartech, Inc.",xiartech,0.9322091910947576
"Xiartech, Inc.",Xiartech,0.9322091910947576
Xiartech,"Xiartech, Inc.",0.9322091910947576
xiartech,"Xiartech, Inc.",0.9322091910947576
"WorkJam, Inc.",WorkJam,0.9292928994974029
"WorkJam, Inc.",Workjam,0.9292928994974029
Workjam,"WorkJam, Inc.",0.9292928994974029
WorkJam,"WorkJam, Inc.",0.9292928994974029
"Wise Publishing, Inc",Wise Publishing,0.9560589959491028
Wise Publishing,"Wise Publishing, Inc",0.9560589959491028
White Pine Health & Wellness Centre INC,White Pine Health & Wellness Centre,0.9775785220715139
White Pine Health & Wellness Centre,White Pine Health & Wellness Centre INC,0.9775785220715139
Whissell Contracting,whissell contracting ltd ,0.9406256586910018
Westwood & Starwood Dental,Starwood & Westwood Dental,0.9680818355229243
Westland Insurance Ltd.,Westland Insurance,0.9308153572184332
Westland Insurance,Westland Insurance Ltd.,0.9308153572184332
Western Pacific Enterprises,Western Pacific Enterprise,0.9539187582548039
Western Pacific Enterprise,Western Pacific Enterprises,0.9539187582548039
Western Forest Products Inc.,Western Forest Products,0.9740673142927344
Western Forest Products,Western Forest Products Inc.,0.9740673142927344
WestCreek Developments Ltd.,Westcreek Developments,0.9620201489883873
Westcreek Developments,WestCreek Developments Ltd.,0.9620201489883873
Wellness in Motion Inc,Wellness in Motion,0.9533061903882702
Wellness in Motion,Wellness in Motion Inc,0.9533061903882702
Weldco-Beales MFG Ltd,Weldco-Beales MFG,0.9514550351530812
Weldco-Beales MFG,Weldco-Beales MFG Ltd,0.9514550351530812
Weekes Engineering Inc,Weekes Engineering,0.9595038862369243
Weekes Engineering,Weekes Engineering Inc,0.9595038862369243
Webbuilders Group,The Webbuilders Group,0.9291378161749353
Wavelabs Technologies Inc.,WAVELABS TECHNOLOGIES,0.9722689737005454
Wavelabs Technologies Inc,WAVELABS TECHNOLOGIES,0.9722689737005454
WAVELABS TECHNOLOGIES,Wavelabs Technologies Inc,0.9722689737005454
WAVELABS TECHNOLOGIES,Wavelabs Technologies Inc.,0.9722689737005454
Wave Engineering Consultants Inc,Wave Engineering Consultants,0.9764338639942421
Wave Engineering Consultants,Wave Engineering Consultants Inc,0.9764338639942421
"WatchGuard Technologies, Inc.",watchguard technologies,0.9780222098086405
"WatchGuard Technologies, Inc.",WatchGuard Technologies,0.9780222098086405
WatchGuard Technologies,"WatchGuard Technologies, Inc.",0.9780222098086405
Walters Group Inc,walters group,0.9242178412717652
Walker Industries Corp,walker industries,0.9173723519043628
Walker Industries Corp,Walker Industries,0.9173723519043628
Walker Industries,Walker Industries Corp,0.9173723519043628
Vuteq Canada Inc.,Vuteq Canada,0.9617931875279764
Vuteq Canada,Vuteq Canada Inc.,0.9617931875279764
Vtech Solution Inc,vTech Solution,0.9442792040515137
vTech Solution Inc,vTech Solution,0.9442792040515137
vTech Solution,vTech Solution Inc,0.9442792040515137
vTech Solution,Vtech Solution Inc,0.9442792040515137
Vollmer Inc.,Vollmer,0.9221253916471981
Vollmer,Vollmer Inc.,0.9221253916471981
Volaris Group Inc.,Volaris Group,0.9369004408799856
Volaris Group,Volaris Group Inc.,0.9369004408799856
Voices.com Inc.,Voices.com,0.9251203649223824
Voices.com,Voices.com Inc.,0.9251203649223824
Visual Defence Inc.,visual defence,0.9628718421619378
Visual Defence Inc,visual defence,0.9628718421619378
VISIONPOOL BUSINESS SERVICES INC,Visionpool Business Services,0.9805367915378326
Visionpool Business Services,VISIONPOOL BUSINESS SERVICES INC,0.9805367915378326
Vinfast Auto Canada Inc,VinFast Auto Canada,0.965442722856556
VinFast Auto Canada,Vinfast Auto Canada Inc,0.965442722856556
Viking Fire Protection Inc.,Viking Fire Protection,0.9658267067772968
Viking Fire Protection,Viking Fire Protection Inc.,0.9658267067772968
Vibrant Healing Inc.,Vibrant Healing,0.9492221761510097
Vibrant Healing,Vibrant Healing Inc.,0.9492221761510097
Viafoura Inc.,viafoura,0.9489179432331172
Viafoura Inc.,Viafoura,0.9489179432331172
Viafoura,Viafoura Inc.,0.9489179432331172
Veriday Inc.,veriday,0.91977271910427
Veriday Inc.,Veriday,0.91977271910427
Veriday,Veriday Inc.,0.91977271910427
Veolia Water Technology,Veolia Water Technologies,0.9109662217839976
Veolia Water Technologies,Veolia Water Technology,0.9109662217839976
VCT Group Inc.,VCT Group,0.9252263154149384
VCT Group,VCT Group Inc.,0.9252263154149384
Vancouver Pile Driving Ltd.,Vancouver Pile Driving,0.9537504456208051
Vancouver Pile Driving,Vancouver Pile Driving Ltd.,0.9537504456208051
Valnet Inc.,valnet,0.9179072588829202
Valnet Inc.,Valnet,0.9179072588829202
Valnet,Valnet Inc.,0.9179072588829202
Valid Manufacturing Ltd.,Valid Manufacturing,0.9449002891262674
Valid Manufacturing,Valid Manufacturing Ltd.,0.9449002891262674
"V-Soft Consulting Group, Inc.",V-Soft Consulting Group,0.9589949036075878
V-Soft Consulting Group,"V-Soft Consulting Group, Inc.",0.9589949036075878
Uride,uride inc ,0.9229975811763196
