left_side,right_side,similarity,companyName,industryCode,industry
WatchGuard Technologies,"WatchGuard Technologies, Inc.",0.9780222098086405,"WatchGuard Technologies, Inc.",118.0,computer / network security
watchguard technologies,"WatchGuard Technologies, Inc.",0.9780222098086405,"WatchGuard Technologies, Inc.",118.0,computer / network security
Walker Industries,Walker Industries Corp,0.9173723519043628,Walker Industries Corp,49.0,building materials
walker industries,Walker Industries Corp,0.9173723519043628,Walker Industries Corp,49.0,building materials
Viafoura,Viafoura Inc.,0.9489179432331172,Viafoura Inc.,4.0,computer software
viafoura,Viafoura Inc.,0.9489179432331172,Viafoura Inc.,4.0,computer software
Veriday,Veriday Inc.,0.91977271910427,Veriday Inc.,6.0,internet
veriday,Veriday Inc.,0.91977271910427,Veriday Inc.,6.0,internet
Valnet,Valnet Inc.,0.9179072588829202,Valnet Inc.,127.0,animation
valnet,Valnet Inc.,0.9179072588829202,Valnet Inc.,127.0,animation
Tyler Technologies,"Tyler Technologies, Inc.",0.9690377190923843,"Tyler Technologies, Inc.",120.0,computer software
tyler technologies,"Tyler Technologies, Inc.",0.9690377190923843,"Tyler Technologies, Inc.",120.0,computer software
Tulsar Canada,Tulsar Canada Ltd,0.928860496655658,Tulsar Canada Ltd,112.0,electrical / electronic manufacturing
Tucows,Tucows Inc.,0.9613506696336206,Tucows Inc.,6.0,internet
tucows,Tucows Inc.,0.9613506696336206,Tucows Inc.,6.0,internet
triOS College Business Technology Healthcare,triOS College Business Technology Healthcare Inc....,0.9813990050201192,triOS College Business Technology Healthcare Inc....,68.0,higher education
trios college business technology healthcare,triOS College Business Technology Healthcare Inc....,0.9813990050201192,triOS College Business Technology Healthcare Inc....,68.0,higher education
Trend Micro,Trend Micro Inc.,0.9318685361383534,Trend Micro Inc.,4.0,computer software
trend micro,Trend Micro Inc.,0.9318685361383534,Trend Micro Inc.,4.0,computer software
Transform Service Organization,TransForm Shared Service Organization,0.9087850342351109,TransForm Shared Service Organization,14.0,hospital / health care
Toronto and Region Conservation Authority,Toronto and Region Conservation Authority (TRCA),0.9026329715350783,Toronto and Region Conservation Authority (TRCA),86.0,environmental services
Tim Hortons,Tim Hortons Inc.,0.9586448606465869,Tim Hortons Inc.,34.0,food / beverages
tim hortons,Tim Hortons Inc.,0.9586448606465869,Tim Hortons Inc.,34.0,food / beverages
theScore,theScore Inc.,0.9252999052445683,theScore Inc.,33.0,sports
thescore,theScore Inc.,0.9252999052445683,theScore Inc.,33.0,sports
The University of Calgary,University of Calgary,0.913407284520343,University of Calgary,79.0,public policy
The Edge Benefits,The Edge Benefits Inc.,0.9723617129434823,The Edge Benefits Inc.,42.0,insurance
The EDGE Benefits,The Edge Benefits Inc.,0.9723617129434823,The Edge Benefits Inc.,42.0,insurance
the edge benefits,The Edge Benefits Inc.,0.9723617129434823,The Edge Benefits Inc.,42.0,insurance
Telecon,Telecon Inc.,0.9072997676792081,Telecon Inc.,48.0,construction
telecon,Telecon Inc.,0.9072997676792081,Telecon Inc.,48.0,construction
Teck Resource Limited,Teck Resources Limited,0.9213207535362566,Teck Resources Limited,56.0,mining / metals
"Taro Pharmaceuticals INC, Canada",TARO PHARMACEUTICALS INC.,0.9283409475440292,TARO PHARMACEUTICALS INC.,15.0,pharmaceuticals
TARO PHARMACEUTICALS,TARO PHARMACEUTICALS INC.,0.9767492656067309,TARO PHARMACEUTICALS INC.,15.0,pharmaceuticals
taro pharmaceuticals,TARO PHARMACEUTICALS INC.,0.9767492656067309,TARO PHARMACEUTICALS INC.,15.0,pharmaceuticals
Sysco Canada,"Sysco Canada, Inc",0.9362176455706743,"Sysco Canada, Inc",34.0,food / beverages
Symcor,Symcor Inc.,0.9195913217009812,Symcor Inc.,43.0,financial services
symcor,Symcor Inc.,0.9195913217009812,Symcor Inc.,43.0,financial services
Staff Shop,Staff Shop Inc.,0.9369877200686774,Staff Shop Inc.,104.0,staffing / recruiting
Soroc Technology,Soroc Technology Inc.,0.9532862915682001,Soroc Technology Inc.,96.0,information technology / services
soroc technology,Soroc Technology Inc.,0.9532862915682001,Soroc Technology Inc.,96.0,information technology / services
Shawcor,ShawCor Ltd.,0.9013179384444735,ShawCor Ltd.,57.0,oil / energy
shawcor,ShawCor Ltd.,0.9013179384444735,ShawCor Ltd.,57.0,oil / energy
Select Tool,Select Tool Inc.,0.941353006912846,Select Tool Inc.,53.0,automotive
Securitas Canada,Securitas Canada Ltd.,0.9184798337576732,Securitas Canada Ltd.,121.0,security / investigations
securitas canada,Securitas Canada Ltd.,0.9184798337576732,Securitas Canada Ltd.,121.0,security / investigations
Screenco Manufacturing,Screenco Manufacturing Ltd.,0.9523666907492309,Screenco Manufacturing Ltd.,49.0,building materials
Schlegel Villages,Schlegel Villages Inc.,0.9742797255642318,Schlegel Villages Inc.,14.0,hospital / health care
schlegel villages,Schlegel Villages Inc.,0.9742797255642318,Schlegel Villages Inc.,14.0,hospital / health care
Salford Group,Salford Group Inc.,0.9423257185683951,Salford Group Inc.,55.0,machinery
salford group,Salford Group Inc.,0.9423257185683951,Salford Group Inc.,55.0,machinery
