title,company,location,salary,category,timestamp,industryCode,industry
Hardware Product Development Engineer,ZTR Control Systems,"Hybrid remote in London, ON",Estimated at $80K–$101K a yearFull-time8 hour shift,Electrical Engineer,2023-01-27 20:34:54 UTC,96.0,information technology / services
Account Executive,YRC Freight Canada,"Montréal, QC","From $65,000 a yearFull-time8 hour shift",Account Manager,2023-01-27 17:38:00 UTC,92.0,transportation/trucking/railroad
Account Executive,YRC Freight Canada,"Edmonton, AB","From $60,000 a yearFull-time8 hour shift",Account Manager,2022-06-06 18:30:17 UTC,92.0,transportation/trucking/railroad
Account Executive,YRC Freight Canada,"Winnipeg, MB","From $60,000 a year",Account Manager,2022-06-30 21:30:19 UTC,92.0,transportation/trucking/railroad
Intern - Information Technology Summer 2023,Xylem,"Guelph, ON",Estimated at $33.2K–$42K a yearFull-time +2,Intern,2023-01-23 14:48:09 UTC,135.0,mechanical/ industrial engineering
Financial Analyst,Xplornet Communications Inc.,"Fredericton, NB+1 location",Estimated at $52.1K–$65.9K a yearFull-time,Investment Analyst,2022-07-27 04:00:12 UTC,8.0,telecommunications
Technical Support Specialist,Xplornet Communications Inc.,"Temporarily Remote in Calgary, AB",$19.71 an hour,New Grad,2022-05-31 23:00:44 UTC,8.0,telecommunications
Senior Software Engineer,"WatchGuard Technologies, Inc.",Remote,"$115,000–$140,000 a yearFull-time",Frontend Developer,2023-01-28 02:19:06 UTC,118.0,computer / network security
Credit Analyst - Contract (20mo),Walker Industries Corp,"Niagara, ON",Estimated at $48.2K–$61.1K a yearFixed term contract,Risk Analyst,2023-01-10 22:18:55 UTC,49.0,building materials
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$45,000–$70,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-07-18 18:30:18 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$70,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-07-06 12:00:13 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$65,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-06-27 16:30:19 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$65,000 a year",Marketing Coordinator,2022-06-10 18:30:16 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$60,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-06-15 17:30:21 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$60,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-06-03 19:30:23 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$60,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-06-06 12:30:11 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$60,000 a year",Marketing Coordinator,2022-05-31 01:30:17 UTC,96.0,information technology / services
Business Analyst,Veriday Inc.,"Toronto, ON",Estimated at $80K–$101K a year,"Business Analyst, Data Analyst, Risk Analyst",2022-09-28 17:17:26 UTC,6.0,internet
Launch and Growth Representative,Uride,"Victoria, BC",$20 an hourPart-timeEvening shift +1,New Grad,2022-07-18 20:00:44 UTC,92.0,transportation/trucking/railroad
"Canada Research Chair Tier II in Quantum Hardware Engineering, Schulich School of Engineering",University of Calgary,"Calgary, AB",Estimated at $90.1K–$114K a yearFull-time,New Grad,2023-01-05 08:46:54 UTC,79.0,public policy
"Venture Leader, Creative Destruction Lab - Rockies",University of Calgary,"Calgary, AB",Estimated at $84.9K–$108K a yearFull-time +1Weekend availability,New Grad,2022-11-17 18:08:46 UTC,79.0,public policy
"Simulation Consultant, ATSSL, Cumming School of Medicine",University of Calgary,"Calgary, AB",Estimated at $83.1K–$105K a yearFull-timeWeekend availability,New Grad,2022-10-25 08:16:46 UTC,79.0,public policy
"Senior Research Associate, School of Public Policy",University of Calgary,"Calgary, AB",Estimated at $75.8K–$96K a yearFull-time +1,New Grad,2022-12-23 07:32:19 UTC,79.0,public policy
"Indigenous Health Program Coordinator, Indigenous, Local & Global Health, Cumming School of Medicine",University of Calgary,"Calgary, AB",Estimated at $71.5K–$90.5K a yearFull-timeWeekend availability,Project Coordinator,2023-01-05 10:17:31 UTC,79.0,public policy
"Senior Financial Analyst, Financial Operations",University of Calgary,"Calgary, AB",Estimated at $68.7K–$86.9K a yearFull-time,"Business Analyst, Financial Analyst",2022-10-20 02:17:35 UTC,79.0,public policy
"Sessional Appointment, Academic Director of School and Appli...",University of Calgary,"Calgary, AB",Estimated at $68.2K–$86.4K a year,New Grad,2022-07-26 09:00:37 UTC,79.0,public policy
"Senior Project Coordinator, Department of Medicine, Cumming School of Medicine",University of Calgary,"Calgary, AB",Estimated at $67.4K–$85.4K a yearFull-time +1Overtime,Project Coordinator,2022-12-23 09:15:45 UTC,79.0,public policy
"Help Desk Analyst, UService, Finance",University of Calgary,"Calgary, AB",Estimated at $65.3K–$82.7K a yearFull-time,Financial Analyst,2022-09-21 00:03:13 UTC,79.0,public policy
"Sustainability Data Analyst, Sustainability Operations & Reporting, Office of Sustainability",University of Calgary,"Calgary, AB",Estimated at $64.3K–$81.5K a yearFull-time,Data Analyst,2022-12-04 02:16:01 UTC,79.0,public policy
"Program Manager, Precision Health, Graduate Sciences Education, Cumming School of Medicine",University of Calgary,"Calgary, AB",Estimated at $63.4K–$80.2K a yearFull-time +1Weekend availability,New Grad,2023-01-05 08:46:22 UTC,79.0,public policy
"Rapid Prototyping Lab Manager, Life Sciences Innovation Hub,...",University of Calgary,"Calgary, AB",Estimated at $62.7K–$79.5K a yearFull-time,New Grad,2022-10-05 14:20:28 UTC,79.0,public policy
"Postdoctoral Program Coordinator, Office of Research Service...",University of Calgary,"Calgary, AB",Estimated at $62.7K–$79.3K a yearFull-time,"Project Coordinator, Risk Analyst",2022-10-19 07:17:21 UTC,79.0,public policy
"Program Coordinator, Department of Medicine, Cumming School of Medicine",University of Calgary,"Calgary, AB",Estimated at $62.3K–$78.9K a yearFull-time,Project Coordinator,2023-02-01 01:17:06 UTC,79.0,public policy
"Research Scientist, Schulich School of Engineering",University of Calgary,"Calgary, AB",Estimated at $60.5K–$76.5K a yearFull-time,Software Developer,2022-09-27 02:02:04 UTC,79.0,public policy
"Program Lead, Clinical Neurosciences, Cumming School of Medicine",University of Calgary,"Calgary, AB",Estimated at $60.4K–$76.4K a yearFull-time +1,New Grad,2023-01-05 08:45:57 UTC,79.0,public policy
"Pension Analyst, Payroll, Finance",University of Calgary,"Calgary, AB",Estimated at $59K–$74.8K a yearFull-time,Financial Analyst,2022-09-21 00:05:02 UTC,79.0,public policy
"Research Scientist, Schulich School of Engineering",University of Calgary,"Calgary, AB",Estimated at $59K–$74.8K a yearFull-time,New Grad,2022-10-21 00:34:37 UTC,79.0,public policy
"Patient Care Coordinator, Family Medicine, Cumming School of Medicine",University of Calgary,"Calgary, AB",Estimated at $59.9K–$75.9K a yearPart-time +1Day shift,Project Coordinator,2022-12-15 05:32:16 UTC,79.0,public policy
"Specialist, Academic Integrity and Student Success Initiatives, Student and Enrolment Services",University of Calgary,"Calgary, AB",Estimated at $59.2K–$74.9K a yearPart-time +1Monday to Friday,New Grad,2022-11-29 18:35:54 UTC,79.0,public policy
"Financial Analyst, Research Accounting",University of Calgary,"Calgary, AB",Estimated at $59.1K–$74.9K a yearFull-time +1,Financial Analyst,2022-12-02 12:50:07 UTC,79.0,public policy
"Project Maintenance Administrator, Financial Reporting Opera...",University of Calgary,"Calgary, AB",Estimated at $55.5K–$70.3K a yearTemporary +1,Project Coordinator,2022-10-05 15:48:28 UTC,79.0,public policy
