companyName,industryCode,industry
asus,3.0,computer hardware
cdi computer dealers inc ,3.0,computer hardware
fujitsu,3.0,computer hardware
hp,3.0,computer hardware
lenovo,3.0,computer hardware
memory express ltd,3.0,computer hardware
nvidia,3.0,computer hardware
startech com,3.0,computer hardware
synnex,3.0,computer hardware
adp,4.0,computer software
achievers,4.0,computer software
adlib,4.0,computer software
adobe,4.0,computer software
altran,4.0,computer software
altus group,4.0,computer software
anago | smart planning solutions,4.0,computer software
arcurve inc ,4.0,computer software
asigra,4.0,computer software
audienceview,4.0,computer software
autodesk,4.0,computer software
avaya,4.0,computer software
axiom real time metrics,4.0,computer software
axonify,4.0,computer software
bdo canada,4.0,computer software
benevity,4.0,computer software
Blueprint Software Systems Inc.,4.0,computer software
Book4time,4.0,computer software
bookjane,4.0,computer software
cmic,4.0,computer software
carbonite,4.0,computer software
caseware international inc ,4.0,computer software
Commissionaires,4.0,computer software
clickback inc,4.0,computer software
clubrunner,4.0,computer software
costar group,4.0,computer software
connected,4.0,computer software
Copperleaf Technologies Inc.,4.0,computer software
corelogic,4.0,computer software
cority,4.0,computer software
simuform search solutions gmbh,4.0,computer software
dessa,4.0,computer software
EPAM Systems (Canada),4.0,computer software
elastic path,4.0,computer software
entrust,4.0,computer software
esri canada,4.0,computer software
Evilnut Creative Technology Ltd.,4.0,computer software
exela technologies,4.0,computer software
flir systems,4.0,computer software
finger food advanced technology group,4.0,computer software
firmex,4.0,computer software
fluor corporation,4.0,computer software
freebalance,4.0,computer software
freshbooks,4.0,computer software
FreshWorks Studio Inc.,4.0,computer software
ge digital,4.0,computer software
genesys,4.0,computer software
globallogic,4.0,computer software
"Guidewire Software, Inc.",4.0,computer software
harris computer,4.0,computer software
hewlett packard enterprise,4.0,computer software
the home depot,4.0,computer software
international financial data services (ifds),4.0,computer software
jacobs,4.0,computer software
jonas software,4.0,computer software
keywords studios,4.0,computer software
kinaxis,4.0,computer software
logisense corporation,4.0,computer software
lone wolf technologies,4.0,computer software
lyft,4.0,computer software
maplesoft,4.0,computer software
mdf commerce,4.0,computer software
method:crm,4.0,computer software
micro focus,4.0,computer software
miovision,4.0,computer software
motorola solutions,4.0,computer software
linkedin,4.0,computer software
munich re,4.0,computer software
new signature,4.0,computer software
nomis solutions,4.0,computer software
onespan,4.0,computer software
opentext,4.0,computer software
panevo,4.0,computer software
patsnap,4.0,computer software
people ai,4.0,computer software
pepsi cola canada beverages,4.0,computer software
pizza hut,4.0,computer software
plan a,4.0,computer software
pleasant solutions,4.0,computer software
pointclickcare,4.0,computer software
rand worldwide,4.0,computer software
rapid7,4.0,computer software
RealDecoy Inc.,4.0,computer software
Resolver Inc.,4.0,computer software
resq,4.0,computer software
rideco on demand transit,4.0,computer software
"Rise People, Inc",4.0,computer software
rldatix,4.0,computer software
roadwarrior,4.0,computer software
rockstar games,4.0,computer software
sage,4.0,computer software
sandbox software,4.0,computer software
sayal electronics head office and store,4.0,computer software
sei,4.0,computer software
shopify,4.0,computer software
slack,4.0,computer software
soti,4.0,computer software
speedline solutions inc,4.0,computer software
spiria,4.0,computer software
momentive ai,4.0,computer software
Synopsys,4.0,computer software
Tecsys,4.0,computer software
teradici an hp company,4.0,computer software
thomson reuters,4.0,computer software
touchbistro,4.0,computer software
traction on demand,4.0,computer software
Trend Micro Inc.,4.0,computer software
tribalscale,4.0,computer software
tsys,4.0,computer software
ultimate software,4.0,computer software
univeris,4.0,computer software
university of toronto,4.0,computer software
vena solutions,4.0,computer software
verafin,4.0,computer software
Viafoura Inc.,4.0,computer software
vision critical,4.0,computer software
vision33,4.0,computer software
walmart,4.0,computer software
wind river,4.0,computer software
wish,4.0,computer software
workday,4.0,computer software
zafin,4.0,computer software
Auvik Networks,5.0,computer networking
bluecat,5.0,computer networking
dejero,5.0,computer networking
extreme networks,5.0,computer networking
juniper networks,5.0,computer networking
rockport networks,5.0,computer networking
ssn networks inc,5.0,computer networking
Trimble,5.0,computer networking
viavi solutions,5.0,computer networking
applyboard,6.0,internet
bloom,6.0,internet
heroã©,6.0,internet
doordash,6.0,internet
drop,6.0,internet
facebook,6.0,internet
faire,6.0,internet
financeit,6.0,internet
flipp,6.0,internet
format,6.0,internet
giftcash,6.0,internet
erase/guaranteed removals,6.0,internet
hubba,6.0,internet
hudson's bay company,6.0,internet
johnson and johnson,6.0,internet
labels,6.0,internet
loblaw digital,6.0,internet
mars,6.0,internet
mopify,6.0,internet
mystorage,6.0,internet
sundaykart com,6.0,internet
Rakuten Kobo Inc.,6.0,internet
reliable maintenance products,6.0,internet
simalam,6.0,internet
skipthedishes,6.0,internet
square,6.0,internet
tata consultancy services,6.0,internet
home basics,6.0,internet
Tucows Inc.,6.0,internet
Veriday Inc.,6.0,internet
versapay,6.0,internet
wattpad,6.0,internet
web roi,6.0,internet
analog devices,7.0,semiconductors
Microchip Technology,7.0,semiconductors
skyworks solutions inc ,7.0,semiconductors
techinsights,7.0,semiconductors
ultra tec manufacturing inc ,7.0,semiconductors
amdocs,8.0,telecommunications
answerplus,8.0,telecommunications
beanfield metroconnect,8.0,telecommunications
bell technical solutions,8.0,telecommunications
china telecom americas,8.0,telecommunications
ciena,8.0,telecommunications
cogent communications,8.0,telecommunications
Cogeco,8.0,telecommunications
comwave,8.0,telecommunications
distributel,8.0,telecommunications
eastlink,8.0,telecommunications
execulink telecom,8.0,telecommunications
freedom mobile,8.0,telecommunications
GLENTEL,8.0,telecommunications
msi corp,8.0,telecommunications
madison group,8.0,telecommunications
mitel,8.0,telecommunications
nokia,8.0,telecommunications
nx utilities,8.0,telecommunications
oz optics ltd ,8.0,telecommunications
redline communications,8.0,telecommunications
ronco,8.0,telecommunications
ruby,8.0,telecommunications
sandvine,8.0,telecommunications
shaw communications,8.0,telecommunications
sinclair technologies,8.0,telecommunications
syntronic a global design house,8.0,telecommunications
tbaytel,8.0,telecommunications
tbooth wireless / la cabine t sans fil,8.0,telecommunications
telesat,8.0,telecommunications
telna,8.0,telecommunications
unique communications inc ,8.0,telecommunications
wireless etc / sans fil etc ,8.0,telecommunications
wirelesswave / wave sans fil,8.0,telecommunications
Xplornet Communications Inc.,8.0,telecommunications
antonov kaganovich llp,9.0,law practice
blaney mcmurtry llp,9.0,law practice
brattys llp,9.0,law practice
cassels brock and blackwell llp,9.0,law practice
gowling wlg,9.0,law practice
johnstone and cowling llp,9.0,law practice
kpa lawyers professional corporation,9.0,law practice
lk,9.0,law practice
lofranco corriero personal injury lawyers,9.0,law practice
macdonald sager llp,9.0,law practice
miller thomson llp,9.0,law practice
ministry of infrastructure,9.0,law practice
osler hoskin and harcourt llp,9.0,law practice
penningtons manches cooper llp,9.0,law practice
shibley righton llp,9.0,law practice
milbank tweed hadley and mccloy llp,9.0,law practice
blake cassels and graydon llp,10.0,legal services
crs,10.0,legal services
cartel inc ,10.0,legal services
student union of confederation college inc,10.0,legal services
creighton and partners,10.0,legal services
federal pardon waiver services,10.0,legal services
legal aid ontario,10.0,legal services
ontario ministry of the attorney general,10.0,legal services
omni healthcare,10.0,legal services
willows wellsch orr and brundige llp,10.0,legal services
accedo,11.0,management consulting
agilec,11.0,management consulting
arcadis,11.0,management consulting
burns and mcdonnell,11.0,management consulting
carpedia international,11.0,management consulting
throughline inc ,11.0,management consulting
crescendo,11.0,management consulting
d alliance,11.0,management consulting
management solutions,11.0,management consulting
danby products inc ,11.0,management consulting
dillon consulting limited,11.0,management consulting
brooklin consulting,11.0,management consulting
thrive the growth consultancy,11.0,management consulting
exiger,11.0,management consulting
farber group,11.0,management consulting
great northern insulation,11.0,management consulting
greenwin,11.0,management consulting
korn ferry,11.0,management consulting
Kelowna Flightcraft,11.0,management consulting
lumentum operations llc,11.0,management consulting
Manion Wilkins & Associates Ltd.,11.0,management consulting
numeris consulting,11.0,management consulting
prica global enterprises inc ,11.0,management consulting
radiant,11.0,management consulting
rona consulting group,11.0,management consulting
the jonah group,11.0,management consulting
wings up,11.0,management consulting
worley,11.0,management consulting
zs,11.0,management consulting
amgen,12.0,biotechnology
bio rad laboratories,12.0,biotechnology
biogen,12.0,biotechnology
ccrm,12.0,biotechnology
eli lilly and company,12.0,biotechnology
emergent biosolutions,12.0,biotechnology
fluidigm corporation,12.0,biotechnology
gilead sciences,12.0,biotechnology
idexx,12.0,biotechnology
bioalert solutions,12.0,biotechnology
labstat international inc ,12.0,biotechnology
luminex corporation a diasorin company,12.0,biotechnology
PerkinElmer,12.0,biotechnology
therapure biopharma inc,12.0,biotechnology
waters corporation,12.0,biotechnology
argyle associates,13.0,medical practice
absolutecare medical center and pharmacy,13.0,medical practice
dfsi,13.0,medical practice
coronation dental specialty group,13.0,medical practice
true dentistry,13.0,medical practice
dundurn medical centre,13.0,medical practice
eramosa physiotherapy associates,13.0,medical practice
harvest medicine,13.0,medical practice
lasik md,13.0,medical practice
lmc diabetes and endocrinology,13.0,medical practice
medevac canada inc ,13.0,medical practice
medsleep,13.0,medical practice
mississauga first nation,13.0,medical practice
nightingale nursing registry ltd ,13.0,medical practice
nipigon district memorial hospital,13.0,medical practice
PCC - Pain Care Clinics,13.0,medical practice
park place retirement residence,13.0,medical practice
qualicare family homecare,13.0,medical practice
repromed ireland,13.0,medical practice
riverdale dental,13.0,medical practice
skinatomy laser clinic,13.0,medical practice
Sunnybrook Health Sciences Centre,13.0,medical practice
the elliott community,13.0,medical practice
the peterborough clinic,13.0,medical practice
toronto dermatology centre,13.0,medical practice
toronto harbour light ministries,13.0,medical practice
village orthodontics,13.0,medical practice
waterside retirement lodge,13.0,medical practice
william osler health centre,13.0,medical practice
woods park care centre,13.0,medical practice
acclaim health,14.0,hospital / health care
ASK4CARE SUPPORT SERVICES INC.,14.0,hospital / health care
ats healthcare,14.0,hospital / health care
accreditation canada,14.0,hospital / health care
alavida lifestyles,14.0,hospital / health care
alio health services,14.0,hospital / health care
thermo fisher scientific,14.0,hospital / health care
anchor rehabilitation support services inc ,14.0,hospital / health care
anson place,14.0,hospital / health care
appletree medical group,14.0,hospital / health care
baycrest health sciences,14.0,hospital / health care
bayshore healthcare,14.0,hospital / health care
bellwood health services,14.0,hospital / health care
bellwoods centres for community living,14.0,hospital / health care
belmont healthcare,14.0,hospital / health care
bioscript solutions,14.0,hospital / health care
chartwell retirement residences,14.0,hospital / health care
bluewater health,14.0,hospital / health care
village of broadview,14.0,hospital / health care
brockville general hospital,14.0,hospital / health care
cbi home health ns,14.0,hospital / health care
cheo children's hospital of eastern ontario,14.0,hospital / health care
circles of care,14.0,hospital / health care
crown metal packaging canada lp,14.0,hospital / health care
cvos oral surgery,14.0,hospital / health care
calea ltd ,14.0,hospital / health care
canadian international career college,14.0,hospital / health care
canadian institute for health information (cihi),14.0,hospital / health care
Canadian Medical Protective Association,14.0,hospital / health care
canadian partnership against cancer,14.0,hospital / health care
cardinal health canada,14.0,hospital / health care
carepartners,14.0,hospital / health care
carefor health and community services,14.0,hospital / health care
caressant care nursing and retirement homes ltd ,14.0,hospital / health care
carpenter hospice,14.0,hospital / health care
eden house residential care,14.0,hospital / health care
centric health corp ,14.0,hospital / health care
camh,14.0,hospital / health care
centric health,14.0,hospital / health care
champlain community care access centre (ccac),14.0,hospital / health care
chatham kent health alliance,14.0,hospital / health care
children's hospital of philadelphia,14.0,hospital / health care
Christie Innomed Inc,14.0,hospital / health care
cirrus consulting group,14.0,hospital / health care
closing the gap healthcare,14.0,hospital / health care
heritage woods of south elgin,14.0,hospital / health care
community living owen sound and district,14.0,hospital / health care
collingwood general and marine hospital,14.0,hospital / health care
comforcare,14.0,hospital / health care
complete respiratory care inc,14.0,hospital / health care
caremb,14.0,hospital / health care
health care services,14.0,hospital / health care
cornwall community hospital,14.0,hospital / health care
daniels sharpsmart compass,14.0,hospital / health care
beacon health system three rivers health,14.0,hospital / health care
digestive health clinic,14.0,hospital / health care
doctorcare,14.0,hospital / health care
university place care center,14.0,hospital / health care
dynacare,14.0,hospital / health care
ecs,14.0,hospital / health care
villa colombo homes for the aged inc,14.0,hospital / health care
eatonville,14.0,hospital / health care
medical supplies marketplace inc ,14.0,hospital / health care
flemingdon health centre,14.0,hospital / health care
follett products llc,14.0,hospital / health care
omni health care frost manor,14.0,hospital / health care
functionability,14.0,hospital / health care
geneva centre for autism,14.0,hospital / health care
georgian bay general hospital,14.0,hospital / health care
good shepherd home,14.0,hospital / health care
grand river hospital,14.0,hospital / health care
greenwood retirement communities,14.0,hospital / health care
groves memorial community hospital,14.0,hospital / health care
guelph general hospital,14.0,hospital / health care
heritage green nursing home,14.0,hospital / health care
hls linen services,14.0,hospital / health care
huron perth healthcare alliance,14.0,hospital / health care
haldimand war memorial hospital,14.0,hospital / health care
hamilton health sciences,14.0,hospital / health care
headwaters health care centre,14.0,hospital / health care
health bound health network,14.0,hospital / health care
healthpro procurement services inc ,14.0,hospital / health care
best hearing solutions,14.0,hospital / health care
helix hearing care,14.0,hospital / health care
helping hands orillia,14.0,hospital / health care
holland christian homes,14.0,hospital / health care
home care assistance,14.0,hospital / health care
home instead,14.0,hospital / health care
hotel dieu hospital,14.0,hospital / health care
humber river hospital,14.0,hospital / health care
jarlette health services,14.0,hospital / health care
johnson and johnson consumer health,14.0,hospital / health care
joseph brant hospital and foundation,14.0,hospital / health care
k dental inc ,14.0,hospital / health care
keys group,14.0,hospital / health care
the grange nursing home,14.0,hospital / health care
kmh cardiology centres inc ,14.0,hospital / health care
kemptville district hospital,14.0,hospital / health care
kensington health,14.0,hospital / health care
kingston health sciences centre,14.0,hospital / health care
lake of the woods district hospital,14.0,hospital / health care
lakeridge health,14.0,hospital / health care
lennox and addington county general hospital,14.0,hospital / health care
lifelabs medical laboratory services,14.0,hospital / health care
living assistance services,14.0,hospital / health care
london health sciences centre (lhsc),14.0,hospital / health care
hennick bridgepoint hospital sinai health,14.0,hospital / health care
mackenzie health,14.0,hospital / health care
Markham Stouffville Hospital Corporation,14.0,hospital / health care
martindale dental,14.0,hospital / health care
mavencare,14.0,hospital / health care
mcmaster university department of medicine,14.0,hospital / health care
medavie,14.0,hospital / health care
medisys health network inc ,14.0,hospital / health care
michael garron hospital,14.0,hospital / health care
ministry of health,14.0,hospital / health care
mon sheong foundation,14.0,hospital / health care
monarch dentistry ontario canada,14.0,hospital / health care
montfort renaissance,14.0,hospital / health care
currently looking for employment in the field of human services,14.0,hospital / health care
the mount sinai hospital,14.0,hospital / health care
mountainview residence and terrace,14.0,hospital / health care
myhealth centre,14.0,hospital / health care
new beginnings healthcare,14.0,hospital / health care
niagara health,14.0,hospital / health care
norfolk general hospital,14.0,hospital / health care
nordion,14.0,hospital / health care
north bay regional health centre (nbrhc),14.0,hospital / health care
northern lights health region,14.0,hospital / health care
northumberland hills hospital,14.0,hospital / health care
nurse next door,14.0,hospital / health care
medical imaging solutions usa llc,14.0,hospital / health care
ontario medical supply,14.0,hospital / health care
ontario shores centre for mental health sciences,14.0,hospital / health care
ornge,14.0,hospital / health care
pace independent living,14.0,hospital / health care
paramed home health care,14.0,hospital / health care
parkdale queen west community health centre,14.0,hospital / health care
parkwood mennonite home,14.0,hospital / health care
participation house markham,14.0,hospital / health care
pathways health centre for children,14.0,hospital / health care
pembroke regional hospital,14.0,hospital / health care
peterborough regional health centre,14.0,hospital / health care
provincial health services authority,14.0,hospital / health care
priority healthcare group,14.0,hospital / health care
providence healthcare network,14.0,hospital / health care
public health ontario,14.0,hospital / health care
queensway carleton hospital,14.0,hospital / health care
quinte health care (qhc),14.0,hospital / health care
rearz inc ,14.0,hospital / health care
ritz lutheran villa,14.0,hospital / health care
river glen haven nursing home,14.0,hospital / health care
riverside health care facilities inc ,14.0,hospital / health care
rnr patient transfer services inc ,14.0,hospital / health care
rns health care services inc ,14.0,hospital / health care
royal victoria regional health centre,14.0,hospital / health care
runnymede healthcare centre,14.0,hospital / health care
sanofi,14.0,hospital / health care
saskatoon health region,14.0,hospital / health care
Schlegel Villages Inc.,14.0,hospital / health care
Seasons Retirement Communities LP,14.0,hospital / health care
senior persons living connected,14.0,hospital / health care
shannex incorporated,14.0,hospital / health care
the hospital for sick children,14.0,hospital / health care
sienna senior living,14.0,hospital / health care
south huron hospital association,14.0,hospital / health care
south riverdale community health centre,14.0,hospital / health care
southlake regional health centre,14.0,hospital / health care
spectrum health care (shc),14.0,hospital / health care
sprint senior care,14.0,hospital / health care
st thomas elgin general hospital,14.0,hospital / health care
steeves and rozema group,14.0,hospital / health care
villa cathay care home,14.0,hospital / health care
sunrise senior living,14.0,hospital / health care
surrey place,14.0,hospital / health care
the evangelical lutheran good samaritan society,14.0,hospital / health care
the medical centre,14.0,hospital / health care
the ottawa hospital,14.0,hospital / health care
the tooth corner,14.0,hospital / health care
THE WEXFORD RESIDENCE,14.0,hospital / health care
thunder bay regional health sciences centre,14.0,hospital / health care
tillsonburg district memorial hospital,14.0,hospital / health care
TransForm Shared Service Organization,14.0,hospital / health care
trillium health partners,14.0,hospital / health care
trillium support services,14.0,hospital / health care
unionville home society,14.0,hospital / health care
university health network,14.0,hospital / health care
university hospital,14.0,hospital / health care
v!va retirement communities,14.0,hospital / health care
island health vancouver island health authority,14.0,hospital / health care
vermont square,14.0,hospital / health care
verve senior living,14.0,hospital / health care
vha home healthcare,14.0,hospital / health care
victoria hospital,14.0,hospital / health care
villa care centre,14.0,hospital / health care
vision home health care llc,14.0,hospital / health care
winchester district memorial hospital,14.0,hospital / health care
windsor regional hospital,14.0,hospital / health care
woodstock hospital,14.0,hospital / health care
wright rehab,14.0,hospital / health care
mallinckrodt canada ulc,15.0,pharmaceuticals
aphria inc ,15.0,pharmaceuticals
Apotex Pharmachem Inc.,15.0,pharmaceuticals
astrazeneca,15.0,pharmaceuticals
Aurora Cannabis,15.0,pharmaceuticals
bellwyck pharma services,15.0,pharmaceuticals
biolyse pharma corporation,15.0,pharmaceuticals
boehringer ingelheim,15.0,pharmaceuticals
bristol myers squibb,15.0,pharmaceuticals
pharmacy brands canada,15.0,pharmaceuticals
canntrust,15.0,pharmaceuticals
canopy growth corporation,15.0,pharmaceuticals
catalent pharma solutions,15.0,pharmaceuticals
contract pharmaceuticals limited,15.0,pharmaceuticals
dalton pharma services,15.0,pharmaceuticals
novo nordisk,15.0,pharmaceuticals
everest clinical research,15.0,pharmaceuticals
fresenius kabi canada,15.0,pharmaceuticals
gsk,15.0,pharmaceuticals
hexo corp,15.0,pharmaceuticals
isologic innovative radiopharmaceuticals (isologic),15.0,pharmaceuticals
main drug co,15.0,pharmaceuticals
medipharm labs,15.0,pharmaceuticals
methapharm,15.0,pharmaceuticals
natural medco ltd ,15.0,pharmaceuticals
parexel,15.0,pharmaceuticals
pharma medica research inc ,15.0,pharmaceuticals
Pharmascience Inc.,15.0,pharmaceuticals
pharmeng technology,15.0,pharmaceuticals
seaford pharmaceuticals inc ,15.0,pharmaceuticals
TARO PHARMACEUTICALS INC.,15.0,pharmaceuticals
teva pharmaceuticals,15.0,pharmaceuticals
the green organic dutchman,15.0,pharmaceuticals
trillium health care products,15.0,pharmaceuticals
viva pharmaceutical inc richmond,15.0,pharmaceuticals
zenabis global inc ,15.0,pharmaceuticals
quetã© veterinary care center,16.0,veterinary
arroyo seco animal hospital,16.0,veterinary
vca canada,16.0,veterinary
vetmedsolutions,16.0,veterinary
3m,17.0,medical device
abbott,17.0,medical device
acorn stairlifts canada inc ,17.0,medical device
amico group,17.0,medical device
ascensia diabetes care,17.0,medical device
baxter international inc ,17.0,medical device
baylis medical,17.0,medical device
beckman coulter diagnostics,17.0,medical device
bioventus,17.0,medical device
Boutique La Vie En Rose,17.0,medical device
cpap clinic,17.0,medical device
coloplast,17.0,medical device
coopervision,17.0,medical device
dbrs medical systems inc ,17.0,medical device
globalmed inc ,17.0,medical device
henry schein canada inc ,17.0,medical device
hillrom,17.0,medical device
mackenzie medical group llc,17.0,medical device
mckesson,17.0,medical device
medline canada corporation,17.0,medical device
natus medical incorporated,17.0,medical device
optik kandr inc ,17.0,medical device
plastic plus limited,17.0,medical device
prollenium medical technologies inc ,17.0,medical device
roche,17.0,medical device
scican,17.0,medical device
sciex,17.0,medical device
septodont,17.0,medical device
sharplight technologies north america,17.0,medical device
southmedic inc,17.0,medical device
span medical products canada inc ,17.0,medical device
square one medical,17.0,medical device
te connectivity,17.0,medical device
the orthotic group,17.0,medical device
zeiss vision care usa,17.0,medical device
cosmetica laboratories inc,18.0,cosmetics
CSR Cosmetic Solutions,18.0,cosmetics
costco wholesale pharmacy,18.0,cosmetics
crystal int'l (group) inc and crystal claire cosmetics inc ,18.0,cosmetics
dermalogica canada,18.0,cosmetics
lush fresh handmade cosmetics north america,18.0,cosmetics
morphe,18.0,cosmetics
new directions aromatics,18.0,cosmetics
Revlon,18.0,cosmetics
revlon professional,18.0,cosmetics
rexall pharmacy,18.0,cosmetics
rx drug mart i d a boyle,18.0,cosmetics
adonis group,19.0,apparel / fashion
allsaints,19.0,apparel / fashion
Canada Goose Inc.,19.0,apparel / fashion
canada pooch ltd ,19.0,apparel / fashion
carters inc ,19.0,apparel / fashion
columbia sportswear company,19.0,apparel / fashion
designer brands,19.0,apparel / fashion
