title,company,location,salary,category,timestamp,industryCode,industry
R&D Product Engineer,ZTR Control Systems,"Hybrid remote in London, ON",Permanent +18 hour shift,Electrical Engineer,2022-12-08 20:07:52 UTC,96.0,information technology / services
R&D Product Engineer,ZTR Control Systems,"Hybrid remote in London, ON",Permanent +18 hour shift,Electrical Engineer,2022-11-16 20:33:32 UTC,96.0,information technology / services
Product Design and Sales Engineer,ZTR Control Systems,"London, ON",Full-time8 hour shift,Electrical Engineer,2022-11-08 14:48:12 UTC,96.0,information technology / services
Product Design and Sales Engineer,ZTR Control Systems,"Hybrid remote in London, ON",Full-time8 hour shift,Electrical Engineer,2022-12-08 20:08:33 UTC,96.0,information technology / services
Hardware Product Development Engineer,ZTR Control Systems,"Hybrid remote in London, ON",Estimated at $80K–$101K a yearFull-time8 hour shift,Electrical Engineer,2023-01-27 20:34:54 UTC,96.0,information technology / services
Account Executive,YRC Freight Canada,"Montréal, QC","From $65,000 a yearFull-time8 hour shift",Account Manager,2023-01-27 17:38:00 UTC,92.0,transportation/trucking/railroad
Account Executive,YRC Freight Canada,"Edmonton, AB","From $60,000 a yearFull-time8 hour shift",Account Manager,2022-06-06 18:30:17 UTC,92.0,transportation/trucking/railroad
Account Executive,YRC Freight Canada,"Winnipeg, MB","From $60,000 a year",Account Manager,2022-06-30 21:30:19 UTC,92.0,transportation/trucking/railroad
Opportunities Fund Job Developer / Job Coach,Yonge Street Mission,"Hybrid remote in Toronto, ON",Full-time,Software Developer,2022-07-20 14:00:37 UTC,90.0,civic / social/ganization
People & Culture Operations Coordinator,Yonge Street Mission,"Hybrid remote in Toronto, ON",Full-time,Project Coordinator,2022-07-15 04:30:11 UTC,90.0,civic / social/ganization
Data Scientist,Xylem,"Mississauga, ON+1 location",Full-timeOvertime,Data Scientist,2022-10-17 15:15:39 UTC,135.0,mechanical/ industrial engineering
Mechanical Engineering Intern,Xylem,"Mississauga, ON",Full-time +2,Intern,2022-10-18 07:52:49 UTC,135.0,mechanical/ industrial engineering
Data Analyst,Xylem,"Temporarily Remote in Mississauga, ON",Full-time,"Data Analyst, Data Scientist",2022-06-16 16:30:13 UTC,135.0,mechanical/ industrial engineering
Intern - Information Technology Summer 2023,Xylem,"Guelph, ON",Estimated at $33.2K–$42K a yearFull-time +2,Intern,2023-01-23 14:48:09 UTC,135.0,mechanical/ industrial engineering
Data Analyst (Hybrid),Xylem,"Remote in Mississauga, ON",,"Data Scientist, Data Analyst",2022-10-28 21:31:45 UTC,135.0,mechanical/ industrial engineering
Local Account Executive,XPO Logistics,"Scarborough, ON",,Account Manager,2022-07-18 04:30:12 UTC,92.0,transportation/trucking/railroad
Local Account Executive,XPO Logistics,"Mississauga, ON",,Account Manager,2023-01-27 22:49:36 UTC,92.0,transportation/trucking/railroad
Local Account Executive,XPO Logistics,"Windsor, ON",,Account Manager,2023-01-12 05:02:03 UTC,92.0,transportation/trucking/railroad
Key Account Manager,XPO Logistics,"Vancouver, BC",,Account Manager,2022-06-15 03:30:18 UTC,92.0,transportation/trucking/railroad
Local Account Executive,XPO Logistics,"Mississauga, ON",,Account Manager,2022-12-20 02:48:47 UTC,92.0,transportation/trucking/railroad
Local Account Executive,XPO Logistics,"Scarborough, ON",,Account Manager,2022-06-18 02:00:19 UTC,92.0,transportation/trucking/railroad
Key Account Manager,XPO Logistics,"Vancouver, BC",,Account Manager,2022-07-14 20:30:14 UTC,92.0,transportation/trucking/railroad
Financial Analyst,Xplornet Communications Inc.,"Markham, ON+1 location",Full-time,Financial Analyst,2022-07-26 22:30:21 UTC,8.0,telecommunications
Financial Analyst,Xplornet Communications Inc.,"Fredericton, NB+1 location",Estimated at $52.1K–$65.9K a yearFull-time,Investment Analyst,2022-07-27 04:00:12 UTC,8.0,telecommunications
Technical Support Specialist,Xplornet Communications Inc.,"Temporarily Remote in Calgary, AB",$19.71 an hour,New Grad,2022-05-31 23:00:44 UTC,8.0,telecommunications
Senior Financial Analyst,Xplornet Communications Inc.,"Fredericton, NB",,Financial Analyst,2022-06-08 18:00:19 UTC,8.0,telecommunications
Sales & Marketing Coordinator,Xplornet Communications Inc.,"Woodstock, NB+2 locations",,Marketing Coordinator,2022-07-12 02:00:17 UTC,8.0,telecommunications
Programmer Analyst,Xplornet Communications Inc.,"Fredericton, NB",,"Full Stack Developer, Software Developer",2022-05-26 17:30:18 UTC,8.0,telecommunications
Financial Analyst,Xplornet Communications Inc.,"Woodstock, NB",,"Investment Analyst, Financial Analyst",2022-06-09 20:30:11 UTC,8.0,telecommunications
Project Coordinator - Lethbridge,Whissell Contracting,"Lethbridge, AB",,Project Coordinator,2022-05-26 03:30:15 UTC,48.0,construction
Senior Software Engineer,"WatchGuard Technologies, Inc.",Remote,Full-time,Full Stack Developer,2023-01-27 23:32:24 UTC,118.0,computer / network security
Senior Software Engineer,"WatchGuard Technologies, Inc.",Remote,Full-time,"Software Developer, Full Stack Developer",2023-01-28 04:02:18 UTC,118.0,computer / network security
Senior Software Engineer,"WatchGuard Technologies, Inc.",Remote,"$115,000–$140,000 a yearFull-time",Frontend Developer,2023-01-28 02:19:06 UTC,118.0,computer / network security
Technical Writer (Remote),"WatchGuard Technologies, Inc.","Remote in Toronto, ON",,UI UX Designer,2022-05-27 11:30:11 UTC,118.0,computer / network security
Software Developer - Security,"WatchGuard Technologies, Inc.","Remote in Toronto, ON",,"Frontend Developer, Software Developer",2022-05-28 02:30:14 UTC,118.0,computer / network security
Software Developer - Security,"WatchGuard Technologies, Inc.","Remote in Toronto, ON",,"Frontend Developer, Software Developer",2022-06-09 12:30:19 UTC,118.0,computer / network security
Junior Detailer Co-op,Walters Group Inc,"Hamilton, ON",Full-time +1,Intern,2022-11-02 21:35:33 UTC,48.0,construction
Project Coordinator,Walters Group Inc,"Hamilton, ON",Full-time,Project Coordinator,2023-01-10 15:00:56 UTC,48.0,construction
Software Developer,Walker Industries Corp,"Toronto, ON",Full-time,Software Developer,2022-11-24 17:18:08 UTC,49.0,building materials
Accounts Payable,Walker Industries Corp,"Niagara Falls, ON",,Intern,2022-06-10 19:30:17 UTC,49.0,building materials
Credit Analyst - Contract (20mo),Walker Industries Corp,"Niagara, ON",Fixed term contract,"Risk Analyst, Data Analyst",2023-01-09 17:52:06 UTC,49.0,building materials
Credit Analyst - Contract (20mo),Walker Industries Corp,"Niagara, ON",Estimated at $48.2K–$61.1K a yearFixed term contract,Risk Analyst,2023-01-10 22:18:55 UTC,49.0,building materials
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$45,000–$70,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-07-18 18:30:18 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$70,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-07-06 12:00:13 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$65,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-06-27 16:30:19 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$65,000 a year",Marketing Coordinator,2022-06-10 18:30:16 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$60,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-06-15 17:30:21 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$60,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-06-03 19:30:23 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$60,000 a yearFull-time8 hour shift",Marketing Coordinator,2022-06-06 12:30:11 UTC,96.0,information technology / services
Marketing Coordinator,Visual Defence Inc.,"Richmond Hill, ON","$40,000–$60,000 a year",Marketing Coordinator,2022-05-31 01:30:17 UTC,96.0,information technology / services
GIS Developer (WEB),Visual Defence Inc.,"Richmond Hill, ON",Permanent +28 hour shift +3,"Frontend Developer, Full Stack Developer, Web Developer",2022-11-09 14:30:49 UTC,96.0,information technology / services
GIS Developer,Visual Defence Inc.,"Richmond Hill, ON",Permanent +28 hour shift +3,"Full Stack Developer, Web Developer, Frontend Developer",2022-11-22 10:01:58 UTC,96.0,information technology / services
"Business Analyst (Sales, Entry Level)",Visual Defence Inc.,"Richmond Hill, ON",Permanent +28 hour shift +3,"Business Analyst, Data Analyst",2022-11-15 14:17:23 UTC,96.0,information technology / services
Full Stack Web Developer (PHP),Visual Defence Inc.,"Richmond Hill, ON",Permanent +28 hour shift,"Frontend Developer, Software Developer, Full Stack Developer, Web Developer",2022-09-27 13:32:30 UTC,96.0,information technology / services
iOS Developer - Entry Level,Visual Defence Inc.,"Richmond Hill, ON",Full-time8 hour shift,Frontend Developer,2022-07-21 07:00:16 UTC,96.0,information technology / services
Android Developer - Entry Level,Visual Defence Inc.,"Richmond Hill, ON",Full-time8 hour shift,"Frontend Developer, Software Developer",2022-07-21 07:00:17 UTC,96.0,information technology / services
MACHINE LEARNING DEVELOPER – VISION SYSTEMS,Visual Defence Inc.,"Richmond Hill, ON",,Data Scientist,2022-07-07 03:00:12 UTC,96.0,information technology / services
Account Executive [Remote],Viafoura Inc.,"Remote in Toronto, ON",Full-time,Account Manager,2022-07-05 20:00:13 UTC,4.0,computer software
Account Executive,Viafoura Inc.,"Remote in Toronto, ON",Full-time,Account Manager,2022-07-06 07:00:20 UTC,4.0,computer software
Senior Backend Engineer (Java),Viafoura Inc.,Remote,,Frontend Developer,2022-06-23 00:00:17 UTC,4.0,computer software
Application Support/Developer,Veriday Inc.,"Mississauga, ON",Permanent +1,"Frontend Developer, Software Developer, Web Developer",2022-10-04 08:31:37 UTC,6.0,internet
UI/UX Designer,Veriday Inc.,"Mississauga, ON",Part-time +1,UI UX Designer,2022-11-09 19:31:48 UTC,6.0,internet
Java Technology Lead,Veriday Inc.,"Mississauga, ON",Full-time,Frontend Developer,2022-11-08 14:02:59 UTC,6.0,internet
Java Developer,Veriday Inc.,"Mississauga, ON",Full-time,Software Developer,2022-06-15 01:00:20 UTC,6.0,internet
Senior Full Stack Developer,Veriday Inc.,"Remote in Mississauga, ON",,"Software Developer, Full Stack Developer, Web Developer",2022-05-08 09:30:27 UTC,6.0,internet
Front End React Engineer,Veriday Inc.,"Mississauga, ON",,"Web Developer, Frontend Developer, Software Developer",2022-11-17 07:15:57 UTC,6.0,internet
Agile PM/Scrum Master,Veriday Inc.,"Toronto, ON",,Business Analyst,2022-11-16 15:33:36 UTC,6.0,internet
Application Support/Developer,Veriday Inc.,"Mississauga, ON",Permanent +1,"Web Developer, Frontend Developer, Software Developer",2022-10-18 17:45:52 UTC,6.0,internet
Product Lead / Business Analyst,Veriday Inc.,"Mississauga, ON",Part-time,"Business Analyst, Data Analyst",2022-06-15 19:30:20 UTC,6.0,internet
Business Analyst,Veriday Inc.,"Toronto, ON",Estimated at $80K–$101K a year,"Business Analyst, Data Analyst, Risk Analyst",2022-09-28 17:17:26 UTC,6.0,internet
Business Analyst,Valnet Inc.,"Montréal, QC",Full-time,"Business Analyst, Data Analyst, Financial Analyst",2022-07-18 00:30:11 UTC,127.0,animation
Business Analyst,Valnet Inc.,"Montréal, QC",Full-time,"Business Analyst, Data Analyst, Financial Analyst",2022-06-27 18:30:14 UTC,127.0,animation
Business Analyst - Product & Data,Valnet Inc.,"Montréal, QC",Full-time,Business Analyst,2022-11-10 22:07:52 UTC,127.0,animation
Mergers and Acquisitions Analyst,Valnet Inc.,"Montréal, QC",Full-time,"Financial Analyst, Risk Analyst",2022-10-18 20:03:53 UTC,127.0,animation
Human Resources Project Coordinator,Valnet Inc.,"Montréal, QC",Full-time,Project Coordinator,2022-06-17 04:00:13 UTC,127.0,animation
Senior Back-End Developer,Valnet Inc.,"Saint-Laurent, QC",,Software Developer,2022-06-23 23:31:26 UTC,127.0,animation
Human Resources Project Coordinator,Valnet Inc.,"Montréal, QC",,Project Coordinator,2022-07-05 17:30:14 UTC,127.0,animation
Human Resources Project Coordinator,Valnet Inc.,"Montréal, QC",,Project Coordinator,2022-06-01 21:30:22 UTC,127.0,animation
Senior Backend Developer,Valnet Inc.,"Montréal, QC",Permanent +1,"Full Stack Developer, Web Developer",2022-11-01 06:45:50 UTC,127.0,animation
Senior Back-end Developer,Valnet Inc.,"Montréal, QC",Permanent +1,"Full Stack Developer, Web Developer",2022-11-01 06:45:38 UTC,127.0,animation
Mergers and Acquisitions Analyst,Valnet Inc.,"Montréal, QC",Full-time,"Financial Analyst, Risk Analyst",2022-11-01 04:32:56 UTC,127.0,animation
Launch and Growth Representative,Uride,"Victoria, BC",$20 an hourPart-timeEvening shift +1,New Grad,2022-07-18 20:00:44 UTC,92.0,transportation/trucking/railroad
"Project Assistant, Events & Communications, Office of Indigenous Engagement - Calgary",University of Calgary,"Calgary, AB",Part-time,Project Coordinator,2022-11-24 04:49:17 UTC,79.0,public policy
"Grad Recruitment Strategist, Haskayne School of Business - C...",University of Calgary,"Calgary, AB",Full-time,New Grad,2022-11-11 02:46:31 UTC,79.0,public policy
"Grad/Undergrad Student Advisor, Faculty of Social Work",University of Calgary,"Calgary, AB",Temporary +1Monday to Friday,New Grad,2022-09-21 09:52:35 UTC,79.0,public policy
"Program Coordinator, Undergraduate Medical Education, Cumming School of Medicine",University of Calgary,"Calgary, AB",Temporary +1Monday to Friday,Project Coordinator,2022-12-21 15:02:43 UTC,79.0,public policy
"Administrative Assistant, Major Research Initiatives, Instit...",University of Calgary,"Calgary, AB",Temporary +1,New Grad,2022-06-23 01:00:26 UTC,79.0,public policy
"Data Engineering and Analytics Specialist, Office of Advance...",University of Calgary,"Calgary, AB",Temporary +1,Data Scientist,2022-10-17 21:00:26 UTC,79.0,public policy
